subject,timepoint,read_count
10,0,15583005
10,2,15354487
10,4,15453835
11,0,12510331
11,2,13760572
11,4,13065700
12,0,13119084
12,2,15294197
12,4,10398890
13,0,15085520
13,2,16056872
13,4,16110550
15,0,16653303
15,2,16334382
15,4,16152221
16,0,13590003
16,2,14868812
16,4,13694505
2,0,14089078
2,2,13257023
2,4,6448907
20,0,12985749
20,2,12824753
20,4,15333704
21,0,13422539
21,2,15976525
21,4,16278185
22,0,15962810
22,4,15716982
23,0,12154393
23,2,15164893
23,4,14447552
24,0,15286252
24,2,13364218
25,0,13972660
25,2,13030430
25,4,15601720
26,0,13223027
26,2,14299452
26,4,15582229
27,0,16458187
27,2,15423979
27,4,14656575
29,0,15586679
29,2,15461915
29,4,13586768
3,0,13578518
3,2,14097325
3,4,15178594
30,0,12266304
30,2,15770147
30,4,13445065
31,0,14339705
31,2,14321632
31,4,14990215
32,0,14720086
32,2,15943706
32,4,15467315
33,0,14804009
33,2,16217473
33,4,15478559
34,0,16086283
34,2,14688536
34,4,16244297
35,0,14095374
35,2,15766279
35,4,14479754
37,0,13545109
37,2,14177480
37,4,13785308
38,0,13759018
38,2,13584424
38,4,15380270
4,0,17466131
4,2,15089280
4,4,15061261
42,0,16847726
42,2,16776608
42,4,16036383
43,0,15938480
43,2,13123710
43,4,16795229
44,0,11766502
44,2,13518516
44,4,14223135
45,0,13477492
45,2,13569802
45,4,14677181
46,0,15088306
46,2,15492462
46,4,16366650
47,0,15240431
47,2,14014750
47,4,14643722
49,0,15727005
49,2,15883390
49,4,13904829
5,0,15432687
5,2,15117046
5,4,16453192
50,0,16646528
50,2,15726576
50,4,13699838
51,0,17108053
51,2,14585121
51,4,13738152
52,0,12239768
52,2,14858651
52,4,12720852
6,0,12885589
6,2,15190496
6,4,15252183
8,0,13954515
8,2,13632235
8,4,14322769
9,0,16004563
9,2,15278621
9,4,15314444
