subject,arm,timepoint,query,tax_id,parent_tax_id
10,P,0,SRR5580233.1685171,38018,12333
10,P,0,SRR5580239.522330,38018,12333
10,P,0,SRR5580239.1655289,10713,335795
10,P,0,SRR5580236.1802282,1206110,196896
10,P,0,SRR5580233.2072341,120574,196894
10,P,0,SRR5580233.546238,1084719,686598
10,P,0,SRR5580233.2403198,335924,196896
10,P,0,SRR5580238.1351897,38018,12333
10,P,0,SRR5580233.200289,1034132,2006134
10,P,0,SRR5580233.1562648,861448,12333
10,P,0,SRR5580236.2985413,321023,329380
10,P,0,SRR5580239.379383,861448,12333
10,P,0,SRR5580236.2383640,555387,329380
10,P,0,SRR5580236.2540746,10678,186789
10,P,0,SRR5580236.1652234,861448,12333
10,P,0,SRR5580237.4297980,1177632,196894
10,P,0,SRR5580237.6223973,335924,196896
10,P,0,SRR5580237.5029115,38018,12333
10,P,0,SRR5580238.2120408,335924,196896
10,P,0,SRR5580233.48383,861448,12333
10,P,0,SRR5580236.146256,571950,12333
10,P,0,SRR5580238.473001,55510,1857846
10,P,0,SRR5580233.2618529,38018,12333
10,P,0,SRR5580238.451050,861448,12333
10,P,0,SRR5580236.132299,571950,12333
10,P,0,SRR5580236.1751647,1049283,329380
10,P,0,SRR5580237.940747,59241,196894
10,P,0,SRR5580233.2756761,38018,12333
10,P,0,SRR5580237.4304728,38018,12333
10,P,0,SRR5580238.2255569,38018,12333
10,P,0,SRR5580236.895471,335924,196896
10,P,0,SRR5580239.3011497,571950,12333
10,P,0,SRR5580239.2652845,1141136,196896
10,P,0,SRR5580239.376639,335924,196896
10,P,0,SRR5580238.1068082,38018,12333
10,P,0,SRR5580239.1588376,756282,1918720
10,P,0,SRR5580238.3059112,1279082,196896
10,P,0,SRR5580239.1375826,38018,12333
10,P,0,SRR5580236.2678079,38018,12333
10,P,0,SRR5580236.2920038,1211640,196894
10,P,0,SRR5580237.1523709,1497851,1921019
10,P,0,SRR5580237.3808327,1406793,196894
10,P,0,SRR5580239.2879096,1220601,1673065
10,P,0,SRR5580236.1082,1308863,196894
10,P,0,SRR5580239.1389123,38018,12333
10,P,0,SRR5580233.2525068,861448,12333
10,P,0,SRR5580236.2552955,557989,12333
10,P,0,SRR5580233.918302,169683,680115
10,P,0,SRR5580233.1469934,360398,1623274
10,P,0,SRR5580238.2781735,38018,12333
10,P,0,SRR5580236.3039367,43685,196894
10,P,0,SRR5580236.1870769,55510,1857846
10,P,0,SRR5580237.2381547,335924,196896
10,P,0,SRR5580236.450534,38018,12333
10,P,0,SRR5580237.6312678,1296661,1984774
10,P,0,SRR5580239.2652146,335924,196896
10,P,0,SRR5580237.6985820,571950,12333
10,P,0,SRR5580237.8852759,38018,12333
10,P,0,SRR5580238.1329091,496874,196894
10,P,0,SRR5580239.716167,1084719,686598
10,P,0,SRR5580238.1858620,10847,1910954
10,P,0,SRR5580237.3798129,1340829,1920752
10,P,0,SRR5580239.2978507,129009,196894
10,P,0,SRR5580237.6703906,941058,196896
10,P,0,SRR5580236.2618537,1147094,196896
10,P,0,SRR5580233.1726887,115992,1914020
10,P,0,SRR5580233.1087582,38018,12333
10,P,0,SRR5580238.1940427,1079999,329380
10,P,0,SRR5580236.1620626,641487,196894
10,P,0,SRR5580238.2382753,38018,12333
10,P,0,SRR5580236.136576,139871,12333
10,P,0,SRR5580238.606929,38018,12333
10,P,0,SRR5580238.276961,1150989,352888
10,P,0,SRR5580236.2640504,1392231,12333
10,P,0,SRR5580236.213215,861448,12333
10,P,0,SRR5580239.2000698,38018,12333
10,P,0,SRR5580238.342252,38018,12333
10,P,0,SRR5580238.139528,557989,12333
10,P,0,SRR5580233.1655435,38018,12333
10,P,0,SRR5580239.413867,38018,12333
